Month,total_off,rolling_total
2020-03,8981,8981
2020-04,25271,34252
2020-05,22699,56951
2020-06,7046,63997
2020-07,2737,66734
2020-08,1969,68703
2020-09,609,69312
2020-10,450,69762
2020-11,219,69981
2020-12,774,70755
2021-01,6813,77568
2021-02,855,78423
2021-03,47,78470
2021-04,261,78731
2021-06,2434,81165
2021-07,80,81245
2021-08,1867,83112
2021-09,161,83273
2021-10,22,83295
2021-11,2070,85365
2021-12,1200,86565
2022-01,510,87075
2022-02,3685,90760
2022-03,5714,96474
2022-04,4078,100552
2022-05,12685,113237
2022-06,15934,129171
2022-07,15888,145059
2022-08,12539,157598
2022-09,5881,163479
2022-10,12706,176185
2022-11,52390,228575
2022-12,8697,237272
2023-01,70935,308207
2023-02,31010,339217
2023-03,34089,373306
2023-04,16124,389430
2023-05,10435,399865
2023-06,9551,409416
2023-07,6919,416335
2023-08,9432,425767
2023-09,4425,430192
2023-10,6199,436391
2023-11,7574,443965
2023-12,5892,449857
2024-01,32926,482783
2024-02,14739,497522
2024-03,1127,498649
2024-04,21973,520622
2024-05,5019,525641
2024-06,1410,527051
