company,years,total_laid_off,Ranking
Uber,2020,7525,1
Groupon,2020,2800,2
Swiggy,2020,2250,3
Airbnb,2020,1900,4
PaisaBazaar,2020,1500,5
Bytedance,2021,3600,1
Katerra,2021,2434,2
Zillow,2021,2000,3
Instacart,2021,1877,4
"WhiteHat Jr",2021,1800,5
Meta,2022,11000,1
Amazon,2022,10150,2
Cisco,2022,4100,3
Peloton,2022,4084,4
Carvana,2022,4000,5
Amazon,2023,17260,1
Google,2023,12115,2
Microsoft,2023,11158,3
Meta,2023,10000,4
Ericsson,2023,8500,5
Tesla,2024,14500,1
SAP,2024,8000,2
Cisco,2024,4250,3
Getir,2024,3300,4
Xerox,2024,3000,5
